THE LIST CONTAINS THE EXPERIMENTAL TRANSITIONS ASSIGNED IN THE GROUND STATE OF 14ND3 FROM THE LITERATURE ( MW TRANSITIONS) AND
FROM THE NEW ASSIGNMENTS OF THE FIR SPECTRA RECENTLY RECORDED ( SEE https://doi.org/10.1016/j.jms.2023.111797 ).
IN THE HEADINGS OF COLUMNS 1-4 THE LETTER U AND L MEAN UPPER AND LOWER, RESPECTIVELY.
IN COLUMNS 5 AND 6 ARE INDICATED THE SYMMETRY WITH RESPECT THE INVERSION
MOTION. 1 CORRESPONDS TO ANTISYMMETRIC WHILE 0 TO SYMMETRIC WITH RESPECT THE INVERSION.
THE CALCULATED VALUE OF TRANSITIONS ARE OBTAINED FROM THE SPECTROSCOPIC FITTING PROCEDURE.
THE K=-3 LEVEL IS THAT AT LOWER ENERGY IN THE K=+,- 3 DOUBLET.

14ND3 MW transitions assigned in the ground state 

     JU  KU     JL  KL    U L     OBS/CM-1    CALC/CM-1    OBS-CALC      WEIGHT         OBS/MHZ        CALC/MHZ    OBS-CALC      UNC/CM-1
     11  -3     10   0    0 0    94.449579    94.449285    0.000294   0.100E+09     2831527.145     2831518.343       8.801     0.00010000
     11   1     10   1    1 0   112.155744   112.155875   -0.000131   0.100E+09     3362344.617     3362348.558      -3.941     0.00010000
     11   1     10   1    0 1   112.083663   112.083690   -0.000027   0.100E+09     3360183.683     3360184.499      -0.815     0.00010000
     11   2     10   2    1 0   112.178131   112.178156   -0.000025   0.100E+09     3363015.763     3363016.502      -0.739     0.00010000
     11   2     10   2    0 1   112.104883   112.104912   -0.000029   0.100E+09     3360819.843     3360820.716      -0.873     0.00010000
     11   3     10   3    1 0   112.215817   112.216016   -0.000199   0.100E+09     3364145.560     3364151.522      -5.962     0.00010000
     11  -3     10  -3    1 0   112.214755   112.214767   -0.000012   0.100E+09     3364113.723     3364114.074      -0.351     0.00010000
     11  -3     10  -3    0 1   112.139770   112.139733    0.000037   0.100E+09     3361865.729     3361864.634       1.095     0.00010000
     11   3     10   3    0 1   112.140915   112.140964   -0.000049   0.100E+07     3361900.055     3361901.514      -1.459     0.00100000
     11   0     10  -3    1 1   129.838774   129.838907   -0.000133   0.100E+09     3892468.520     3892472.505      -3.985     0.00010000
     11   4     10   4    1 0   112.267935   112.267737    0.000198   0.100E+09     3365708.019     3365702.095       5.924     0.00010000
     11   4     10   4    0 1   112.190048   112.190100   -0.000052   0.100E+09     3363373.025     3363374.580      -1.554     0.00010000
     11   1     10   4    1 1   141.696513   141.696742   -0.000229   0.100E+09     4247954.592     4247961.468      -6.876     0.00010000
     11   5     10   5    1 0   112.335374   112.335415   -0.000041   0.100E+09     3367729.789     3367731.017      -1.227     0.00010000
     11   5     10   5    0 1   112.254283   112.254306   -0.000023   0.100E+09     3365298.742     3365299.443      -0.701     0.00010000
     11   6     10   6    1 0   112.418711   112.418715   -0.000004   0.100E+09     3370228.170     3370228.281      -0.111     0.00010000
     11   6     10   6    0 1   112.333242   112.333149    0.000093   0.100E+09     3367665.873     3367663.077       2.796     0.00010000
     11   3     10  -6    1 1   165.611955   165.612187   -0.000232   0.100E+09     4964921.506     4964928.448      -6.942     0.00010000
     11  -3     10  -6    0 0   165.617456   165.617362    0.000094   0.100E+09     4965086.422     4965083.618       2.804     0.00010000
     11   7     10   7    1 0   112.518053   112.518003    0.000050   0.100E+09     3373206.368     3373204.883       1.485     0.00010000
     11   7     10   7    0 1   112.426851   112.426847    0.000004   0.100E+09     3370472.201     3370472.094       0.107     0.00010000
     11   8     10   8    1 0   112.633745   112.633732    0.000013   0.100E+09     3376674.727     3376674.328       0.399     0.00010000
     11   8     10   8    0 1   112.535662   112.535663   -0.000001   0.100E+09     3373734.272     3373734.291      -0.019     0.00010000
     11   9     10   9    0 1   112.659929   112.659893    0.000036   0.100E+09     3377459.703     3377458.611       1.092     0.00010000
     11   9     10   9    1 0   112.766382   112.766444   -0.000062   0.100E+09     3380651.084     3380652.933      -1.849     0.00010000
     10   7     10  10    1 1   101.819203   101.819371   -0.000168   0.100E+09     3052462.914     3052467.965      -5.051     0.00010000
     11  10     10  10    1 0   112.916775   112.916791   -0.000016   0.100E+09     3385159.753     3385160.219      -0.466     0.00010000
     11  10     10  10    0 1   112.799809   112.799872   -0.000063   0.100E+09     3381653.200     3381655.083      -1.883     0.00010000
     12   0     11   0    1 0   122.130599   122.130637   -0.000038   0.100E+09     3661383.247     3661384.373      -1.126     0.00010000
     12   0     11   0    0 1   122.063956   122.063883    0.000073   0.100E+09     3659385.340     3659383.164       2.176     0.00010000
     12  -3     11   0    1 1   104.502081   104.502475   -0.000394   0.100E+09     3132893.573     3132905.379     -11.806    0.00010000
     12   1     11   1    1 0   122.138487   122.138612   -0.000125   0.100E+09     3661619.723     3661623.480      -3.756     0.00010000
     12   1     11   1    0 1   122.071526   122.071535   -0.000009   0.100E+09     3659612.283     3659612.565      -0.282     0.00010000
     12   2     11   2    1 0   122.162473   122.162571   -0.000098   0.100E+09     3662338.806     3662341.753      -2.947     0.00010000
     12   2     11   2    0 1   122.094502   122.094514   -0.000012   0.100E+09     3660301.086     3660301.433      -0.347     0.00010000
     12  -3     11  -3    1 0   122.201553   122.201648   -0.000095   0.100E+09     3663510.395     3663513.251      -2.856     0.00010000
     12   3     11   3    1 0   122.203645   122.203570    0.000075   0.100E+09     3663573.111     3663570.872       2.239     0.00010000
     12   3     11   3    0 1   122.133750   122.133830   -0.000080   0.100E+09     3661477.712     3661480.115      -2.403     0.00010000
     12  -3     11  -3    0 1   122.131788   122.131938   -0.000150   0.100E+09     3661418.892     3661423.385      -4.493     0.00010000
     12   4     11   4    1 0   122.258892   122.258888    0.000004   0.100E+09     3665229.375     3665229.259       0.116     0.00010000
     12   4     11   4    0 1   122.186769   122.186758    0.000011   0.100E+09     3663067.181     3663066.849       0.332     0.00010000
     12   5     11   5    1 0   122.331828   122.331638    0.000190   0.100E+09     3667415.941     3667410.251       5.690     0.00010000
     12   5     11   5    0 1   122.256186   122.256291   -0.000105   0.100E+09     3665148.251     3665151.408      -3.157     0.00010000
     12   6     11   6    1 0   122.421230   122.421162    0.000068   0.100E+09     3670096.145     3670094.106       2.039     0.00010000
     12   6     11   6    0 1   122.341735   122.341685    0.000050   0.100E+09     3667712.945     3667711.444       1.502     0.00010000
     12   4     11   7    0 0   187.443605   187.443492    0.000113   0.100E+09     5619417.908     5619414.511       3.397     0.00010000
     12   7     11   7    1 0   122.527830   122.527840   -0.000010   0.100E+09     3673291.933     3673292.244      -0.311     0.00010000
     12   7     11   7    0 1   122.443231   122.443185    0.000046   0.100E+09     3670755.719     3670754.338       1.381     0.00010000
     12   4     11   7    1 1   187.434549   187.434213    0.000336   0.100E+09     5619146.416     5619136.340      10.076    0.00010000
     12   8     11   8    1 0   122.652126   122.652141   -0.000015   0.100E+09     3677018.233     3677018.669      -0.436     0.00010000
     12   8     11   8    0 1   122.561135   122.561083    0.000052   0.100E+09     3674290.392     3674288.839       1.553     0.00010000
     11  -6     11   9    1 1    89.331925    89.331966   -0.000041   0.100E+09     2678103.737     2678104.957      -1.219     0.00010000
     11   6     11   9    0 0    89.342304    89.342071    0.000233   0.100E+09     2678414.892     2678407.895       6.997     0.00010000
     12   9     11   9    1 0   122.794665   122.794625    0.000040   0.100E+09     3681291.445     3681290.255       1.190     0.00010000
     12   9     11   9    0 1   122.695781   122.695716    0.000065   0.100E+09     3678326.977     3678325.031       1.946     0.00010000
     12  10     11  10    0 1   122.847471   122.847464    0.000007   0.100E+09     3682874.529     3682874.311       0.218     0.00010000
     12  10     11  10    1 0   122.955999   122.955966    0.000033   0.100E+09     3686128.117     3686127.142       0.975     0.00010000
     11   8     11  11    1 1   113.514355   113.514259    0.000096   0.100E+09     3403074.750     3403071.873       2.878     0.00010000
     12  11     11  11    0 1   123.016777   123.016748    0.000029   0.100E+09     3687950.195     3687949.319       0.876     0.00010000
     12  11     11  11    1 0   123.137015   123.136961    0.000054   0.100E+09     3691554.840     3691553.220       1.620     0.00010000
     13   0     12   0    0 1   131.999155   131.999119    0.000036   0.100E+09     3957235.113     3957234.028       1.085     0.00010000
     13   0     12   0    1 0   132.060776   132.060769    0.000007   0.100E+09     3959082.464     3959082.263       0.201     0.00010000
     13   1     12   1    0 1   132.007278   132.007335   -0.000057   0.100E+09     3957478.635     3957480.343      -1.709     0.00010000
     13   1     12   1    1 0   132.069299   132.069284    0.000015   0.100E+09     3959337.977     3959337.517       0.460     0.00010000
     13   2     12   2    0 1   132.032032   132.032008    0.000024   0.100E+09     3958220.741     3958220.013       0.728     0.00010000
     13   2     12   2    1 0   132.094835   132.094860   -0.000025   0.100E+09     3960103.527     3960104.273      -0.745     0.00010000
     13   3     12   3    0 1   132.074585   132.074611   -0.000026   0.100E+09     3959496.448     3959497.221      -0.774     0.00010000
     13  -3     12  -3    0 1   132.071774   132.071807   -0.000033   0.100E+09     3959412.176     3959413.152      -0.976     0.00010000
     13   3     12   3    1 0   132.139034   132.139021    0.000013   0.100E+09     3961428.580     3961428.197       0.383     0.00010000
     13  -3     12  -3    1 0   132.136198   132.136173    0.000025   0.100E+09     3961343.559     3961342.796       0.763     0.00010000
     13   4     12   4    0 1   132.131063   132.131059    0.000004   0.100E+09     3961189.615     3961189.510       0.106     0.00010000
     13   4     12   4    1 0   132.197729   132.197663    0.000066   0.100E+09     3963188.212     3963186.233       1.979     0.00010000
     13   5     12   5    0 1   132.205792   132.205731    0.000061   0.100E+09     3963429.935     3963428.101       1.834     0.00010000
     13   5     12   5    1 0   132.275371   132.275297    0.000074   0.100E+09     3965515.860     3965513.652       2.209     0.00010000
     13   6     12   6    0 1   132.297508   132.297442    0.000066   0.100E+09     3966179.511     3966177.538       1.973     0.00010000
     13   6     12   6    1 0   132.370874   132.370813    0.000061   0.100E+09     3968378.968     3968377.129       1.839     0.00010000
     13   7     12   7    0 1   132.406509   132.406464    0.000045   0.100E+09     3969447.279     3969445.924       1.355     0.00010000
     13   7     12   7    1 0   132.484659   132.484603    0.000056   0.100E+09     3971790.157     3971788.464       1.693     0.00010000
     13   8     12   8    0 1   132.533172   132.533117    0.000055   0.100E+09     3973244.540     3973242.901       1.640     0.00010000
     13   8     12   8    1 0   132.617227   132.617149    0.000078   0.100E+09     3975764.446     3975762.103       2.342     0.00010000
     13   9     12   9    0 1   132.677834   132.677775    0.000059   0.100E+09     3977581.398     3977579.629       1.768     0.00010000
     13   9     12   9    1 0   132.769034   132.769031    0.000003   0.100E+09     3980315.505     3980315.413       0.092     0.00010000
     13  10     12  10    0 1   132.840885   132.840860    0.000025   0.100E+09     3982469.544     3982468.793       0.751     0.00010000
     13  10     12  10    1 0   132.940895   132.940938   -0.000043   0.100E+09     3985467.768     3985469.066      -1.298     0.00010000
     13  11     12  11    1 0   133.133739   133.133687    0.000052   0.100E+09     3991249.086     3991247.524       1.561     0.00010000
     13  11     12  11    0 1   133.022808   133.022845   -0.000037   0.100E+09     3987923.458     3987924.560      -1.102     0.00010000
     13  12     12  12    1 0   133.348273   133.348239    0.000034   0.100E+09     3997680.653     3997679.640       1.013     0.00010000
     13  12     12  12    0 1   133.224293   133.224249    0.000044   0.100E+09     3993963.826     3993962.519       1.307     0.00010000
     14   0     13   0    0 1   141.878790   141.878769    0.000021   0.100E+09     4253419.119     4253418.480       0.640     0.00010000
     14   0     13   0    1 0   141.935369   141.935359    0.000010   0.100E+09     4255115.315     4255115.027       0.288     0.00010000
     14   1     13   1    1 0   141.944356   141.944391   -0.000035   0.100E+09     4255384.738     4255385.792      -1.053     0.00010000
     14   1     13   1    0 1   141.887546   141.887527    0.000019   0.100E+09     4253681.617     4253681.062       0.556     0.00010000
     14   2     13   2    1 0   141.971564   141.971521    0.000043   0.100E+09     4256200.414     4256199.113       1.300     0.00010000
     14   2     13   2    0 1   141.913876   141.913830    0.000046   0.100E+09     4254470.971     4254469.589       1.382     0.00010000
     14  -3     13  -3    1 0   142.014858   142.014804    0.000054   0.100E+09     4257498.335     4257496.730       1.605     0.00010000
     14   3     13   3    1 0   142.019313   142.018894    0.000419   0.100E+07     4257631.893     4257619.336      12.557     0.00100000
     14   3     13   3    0 1   141.959798   141.959765    0.000033   0.100E+09     4255847.678     4255846.702       0.976     0.00010000
     14  -3     13  -3    0 1   141.955666   141.955739   -0.000073   0.100E+09     4255723.804     4255726.002      -2.199     0.00010000
     14   4     13   4    1 0   142.080613   142.080552    0.000061   0.100E+09     4259469.621     4259467.782       1.838     0.00010000
     14   4     13   4    0 1   142.019313   142.019426   -0.000113   0.100E+09     4257631.893     4257635.294      -3.401     0.00010000
     14   5     13   5    1 0   142.162955   142.162875    0.000080   0.100E+09     4261938.172     4261935.778       2.394     0.00010000
     14   5     13   5    0 1   142.099118   142.099037    0.000081   0.100E+09     4260024.386     4260021.956       2.430     0.00010000
     14   6     13   6    1 0   142.264143   142.264141    0.000002   0.100E+09     4264971.712     4264971.659       0.053     0.00010000
     14   6     13   6    0 1   142.196898   142.196820    0.000078   0.100E+09     4262955.757     4262953.423       2.334     0.00010000
     14   7     13   7    1 0   142.385181   142.384755    0.000426   0.100E+07     4268600.339     4268587.555      12.785     0.00100000
     14   7     13   7    0 1   142.313129   142.313068    0.000061   0.100E+09     4266440.275     4266438.461       1.814     0.00010000
     14   8     13   8    1 0   142.525259   142.525210    0.000049   0.100E+09     4272799.772     4272798.312       1.460     0.00010000
     14   8     13   8    0 1   142.448123   142.448132   -0.000009   0.100E+09     4270487.293     4270487.551      -0.257     0.00010000
     14   9     13   9    0 1   142.602438   142.602415    0.000023   0.100E+09     4275113.540     4275112.854       0.687     0.00010000
     14   9     13   9    1 0   142.686133   142.686102    0.000031   0.100E+09     4277622.653     4277621.717       0.937     0.00010000
     14  10     13  10    0 1   142.776417   142.776382    0.000035   0.100E+09     4280329.300     4280328.255       1.045     0.00010000
     14  10     13  10    1 0   142.868316   142.868134    0.000182   0.100E+09     4283084.362     4283078.899       5.464     0.00010000
     14  11     13  11    0 1   142.970609   142.970553    0.000056   0.100E+09     4286151.029     4286149.350       1.680     0.00010000
     14  11     13  11    1 0   143.072183   143.072138    0.000045   0.100E+09     4289196.141     4289194.793       1.348     0.00010000
     14  12     13  12    0 1   143.185547   143.185504    0.000043   0.100E+09     4292594.709     4292593.413       1.295     0.00010000
     14  12     13  12    1 0   143.299170   143.299093    0.000077   0.100E+09     4296001.040     4295998.733       2.307     0.00010000
     14  13     13  13    0 1   143.421794   143.421865   -0.000071   0.100E+09     4299677.215     4299679.343      -2.128     0.00010000
     14  13     13  13    1 0   143.550142   143.550149   -0.000007   0.100E+09     4303524.992     4303525.188      -0.197     0.00010000
     15   0     14   0    0 1   151.699637   151.699444    0.000193   0.100E+09     4547840.705     4547834.934       5.771     0.00010000
     15   0     14   0    1 0   151.751020   151.751075   -0.000055   0.100E+09     4549381.129     4549382.772      -1.643     0.00010000
     15   1     14   1    0 1   151.708780   151.708723    0.000057   0.100E+09     4548114.806     4548113.110       1.695     0.00010000
     15   1     14   1    1 0   151.760643   151.760602    0.000041   0.100E+09     4549669.619     4549668.389       1.230     0.00010000
     15   2     14   2    0 1   151.736616   151.736588    0.000028   0.100E+09     4548949.308     4548948.474       0.834     0.00010000
     15   2     14   2    1 0   151.789161   151.789219   -0.000058   0.100E+09     4550524.567     4550526.304      -1.737     0.00010000
     15  -3     14  -3    0 1   151.780372   151.780306    0.000066   0.100E+09     4550261.080     4550259.105       1.975     0.00010000
     15   3     14   3    0 1   151.785878   151.785931   -0.000053   0.100E+09     4550426.146     4550427.727      -1.581     0.00010000
     15   3     14   3    1 0   151.839932   151.839885    0.000047   0.100E+09     4552046.644     4552045.221       1.423     0.00010000
     15  -3     14  -3    1 0   151.834231   151.834172    0.000059   0.100E+09     4551875.732     4551873.973       1.759     0.00010000
     15   4     14   4    0 1   151.848455   151.848456   -0.000001   0.100E+09     4552302.157     4552302.175      -0.018     0.00010000
     15   4     14   4    1 0   151.904276   151.904211    0.000065   0.100E+09     4553975.628     4553973.687       1.941     0.00010000
     15   5     14   5    0 1   151.932762   151.932798   -0.000036   0.100E+09     4554829.617     4554830.699      -1.082     0.00010000
     15   5     14   5    1 0   151.991088   151.991023    0.000065   0.100E+09     4556578.187     4556576.238       1.948     0.00010000
     15   6     14   6    0 1   152.036468   152.036397    0.000071   0.100E+09     4557938.645     4557936.516       2.129     0.00010000
     15   6     14   6    1 0   152.097859   152.097792    0.000067   0.100E+09     4559779.101     4559777.098       2.002     0.00010000
     15   7     14   7    0 1   152.159646   152.159565    0.000081   0.100E+09     4561631.428     4561628.988       2.440     0.00010000
     15   7     14   7    1 0   152.224997   152.224933    0.000064   0.100E+09     4563590.602     4563588.677       1.925     0.00010000
     15   8     14   8    1 0   152.372963   152.372952    0.000011   0.100E+09     4568026.511     4568026.181       0.330     0.00010000
     15   8     14   8    0 1   152.302553   152.302677   -0.000124   0.100E+09     4565915.672     4565919.384      -3.711     0.00010000
     15   9     14   9    1 0   152.542474   152.542455    0.000019   0.100E+09     4573108.323     4573107.752       0.571     0.00010000
     15   9     14   9    0 1   152.466169   152.466170   -0.000001   0.100E+09     4570820.757     4570820.779      -0.023     0.00010000
     15  10     14  10    1 0   152.734099   152.734159   -0.000060   0.100E+09     4578853.096     4578854.900      -1.804     0.00010000
     15  10     14  10    0 1   152.650554   152.650544    0.000010   0.100E+09     4576348.480     4576348.169       0.311     0.00010000
     15  11     14  11    1 0   152.948942   152.948909    0.000033   0.100E+09     4585293.927     4585292.945       0.982     0.00010000
     15  11     14  11    0 1   152.856388   152.856363    0.000025   0.100E+09     4582519.228     4582518.468       0.760     0.00010000
     15  12     14  12    1 0   153.187681   153.187696   -0.000015   0.100E+09     4592451.142     4592451.594      -0.452     0.00010000
     15  12     14  12    0 1   153.084329   153.084255    0.000074   0.100E+09     4589352.727     4589350.516       2.212     0.00010000
     15  13     14  13    0 1   153.334841   153.334913   -0.000072   0.100E+09     4596862.888     4596865.050      -2.162     0.00010000
     15  13     14  13    1 0   153.451618   153.451681   -0.000063   0.100E+09     4600363.774     4600365.656      -1.881     0.00010000
     15  14     14  14    0 1   153.609119   153.609090    0.000029   0.100E+09     4605085.536     4605084.658       0.877     0.00010000
     15  14     14  14    1 0   153.742269   153.742225    0.000044   0.100E+09     4609077.272     4609075.943       1.330     0.00010000
     16   0     15   0    1 0   161.504768   161.504753    0.000015   0.100E+09     4841791.138     4841790.692       0.445     0.00010000
     16   0     15   0    0 1   161.457874   161.457934   -0.000060   0.100E+09     4840385.291     4840387.098      -1.807     0.00010000
     16   1     15   1    1 0   161.514746   161.514753   -0.000007   0.100E+09     4842090.271     4842090.489      -0.219     0.00010000
     16   1     15   1    0 1   161.467709   161.467710   -0.000001   0.100E+09     4840680.137     4840680.175      -0.038     0.00010000
     16   2     15   2    1 0   161.544777   161.544791   -0.000014   0.100E+09     4842990.577     4842990.983      -0.406     0.00010000
     16   2     15   2    0 1   161.496962   161.497068   -0.000106   0.100E+09     4841557.120     4841560.295      -3.175     0.00010000
     16  -3     15  -3    1 0   161.591046   161.591072   -0.000026   0.100E+09     4844377.687     4844378.469      -0.782     0.00010000
     16   3     15   3    1 0   161.598883   161.598862    0.000021   0.100E+09     4844612.634     4844611.994       0.640     0.00010000
     16   3     15   3    0 1   161.549945   161.549925    0.000020   0.100E+09     4843145.510     4843144.900       0.611     0.00010000
     16  -3     15  -3    0 1   161.542135   161.542252   -0.000117   0.100E+09     4842911.372     4842914.872      -3.499     0.00010000
     16   4     15   4    0 1   161.614955   161.614923    0.000032   0.100E+09     4845094.461     4845093.496       0.965     0.00010000
     16   4     15   4    1 0   161.665475   161.665470    0.000005   0.100E+09     4846609.012     4846608.869       0.143     0.00010000
     16   5     15   5    0 1   161.703790   161.703784    0.000006   0.100E+09     4847757.667     4847757.482       0.185     0.00010000
     16   5     15   5    1 0   161.756620   161.756565    0.000055   0.100E+09     4849341.471     4849339.820       1.651     0.00010000
     16   6     15   6    0 1   161.812872   161.812934   -0.000062   0.100E+09     4851027.863     4851029.727      -1.864     0.00010000
     16   6     15   6    1 0   161.868682   161.868584    0.000098   0.100E+09     4852701.005     4852698.070       2.935     0.00010000
     16   7     15   7    0 1   161.942763   161.942704    0.000059   0.100E+09     4854921.898     4854920.116       1.782     0.00010000
     16   7     15   7    1 0   162.002035   162.001949    0.000086   0.100E+09     4856698.827     4856696.256       2.572     0.00010000
     16   8     15   8    0 1   162.093464   162.093493   -0.000029   0.100E+09     4859439.800     4859440.655      -0.855     0.00010000
     16   8     15   8    1 0   162.157284   162.157179    0.000105   0.100E+09     4861353.075     4861349.919       3.156     0.00010000
     16   9     15   9    0 1   162.265771   162.265765    0.000006   0.100E+09     4864605.434     4864605.248       0.186     0.00010000
     16   9     15   9    1 0   162.334893   162.334887    0.000006   0.100E+09     4866677.659     4866677.492       0.167     0.00010000
     16  10     15  10    0 1   162.460079   162.460054    0.000025   0.100E+09     4870430.641     4870429.897       0.744     0.00010000
     16  10     15  10    1 0   162.535849   162.535803    0.000046   0.100E+09     4872702.168     4872700.794       1.374     0.00010000
     16  11     15  11    0 1   162.677001   162.676965    0.000036   0.100E+09     4876933.799     4876932.727       1.072     0.00010000
     16  11     15  11    1 0   162.760828   162.760781    0.000047   0.100E+09     4879446.869     4879445.448       1.421     0.00010000
     16  12     15  12    0 1   162.917217   162.917174    0.000043   0.100E+09     4884135.293     4884134.008       1.285     0.00010000
     16  12     15  12    1 0   163.010888   163.010820    0.000068   0.100E+09     4886943.479     4886941.431       2.048     0.00010000
     16  13     15  13    0 1   163.181481   163.181429    0.000052   0.100E+09     4892057.729     4892056.170       1.559     0.00010000
     16  13     15  13    1 0   163.287007   163.287089   -0.000082   0.100E+09     4895221.319     4895223.777      -2.458     0.00010000
     16  14     15  14    0 1   163.470565   163.470550    0.000015   0.100E+09     4900724.249     4900723.791       0.458     0.00010000
     16  14     15  14    1 0   163.591001   163.590955    0.000046   0.100E+09     4904334.830     4904333.441       1.389     0.00010000
     16  15     15  15    0 1   163.785478   163.785427    0.000051   0.100E+09     4910165.103     4910163.560       1.543     0.00010000
     16  15     15  15    1 0   163.924017   163.924016    0.000001   0.100E+09     4914318.398     4914318.379       0.019     0.00010000
     17   0     16   0    0 1   171.151278   171.151206    0.000072   0.100E+09     5130986.232     5130984.059       2.173     0.00010000
     17   0     16   0    1 0   171.193096   171.193405   -0.000309   0.100E+09     5132239.904     5132249.169      -9.265    0.00010000
     17   1     16   1    0 1   171.161417   171.161455   -0.000038   0.100E+09     5131290.192     5131291.328      -1.137     0.00010000
     17   1     16   1    1 0   171.203771   171.203855   -0.000084   0.100E+09     5132559.933     5132562.462      -2.530     0.00010000
     17   2     16   2    1 0   171.235286   171.235245    0.000041   0.100E+09     5133504.729     5133503.488       1.241     0.00010000
     17   2     16   2    0 1   171.193096   171.192235    0.000861   0.100E+07     5132239.904     5132214.086      25.818     0.00100000
     17  -3     16  -3    1 0   171.282492   171.282471    0.000021   0.100E+09     5134919.929     5134919.295       0.634     0.00010000
     17  -3     16  -3    0 1   171.238601   171.238499    0.000102   0.100E+09     5133604.110     5133601.057       3.053     0.00010000
     17   3     16   3    0 1   171.248750   171.248749    0.000001   0.100E+09     5133908.369     5133908.336       0.033     0.00010000
     17   3     16   3    1 0   171.292937   171.292871    0.000066   0.100E+09     5135233.062     5135231.092       1.970     0.00010000
     17   4     16   4    1 0   171.361418   171.361332    0.000086   0.100E+09     5137286.071     5137283.478       2.593     0.00010000
     17   4     16   4    0 1   171.315834   171.315786    0.000048   0.100E+09     5135919.497     5135918.060       1.437     0.00010000
     17   5     16   5    1 0   171.456572   171.456500    0.000072   0.100E+09     5140138.716     5140136.570       2.146     0.00010000
     17   5     16   5    0 1   171.409004   171.408947    0.000057   0.100E+09     5138712.663     5138710.969       1.694     0.00010000
     17   6     16   6    1 0   171.573579   171.573512    0.000067   0.100E+09     5143646.498     5143644.500       1.997     0.00010000
     17   6     16   6    0 1   171.523404   171.523379    0.000025   0.100E+09     5142142.289     5142141.544       0.745     0.00010000
     17   7     16   7    1 0   171.712763   171.712794   -0.000031   0.100E+09     5147819.129     5147820.063      -0.934     0.00010000
     17   7     16   7    0 1   171.659473   171.659425    0.000048   0.100E+09     5146221.535     5146220.105       1.429     0.00010000
     17   8     16   8    1 0   171.874978   171.874875    0.000103   0.100E+09     5152682.212     5152679.136       3.076     0.00010000
     17   8     16   8    0 1   171.817565   171.817510    0.000055   0.100E+09     5150961.014     5150959.366       1.648     0.00010000
     17   9     16   9    1 0   172.060448   172.060378    0.000070   0.100E+09     5158242.463     5158240.374       2.089     0.00010000
     17   9     16   9    0 1   171.998213   171.998121    0.000092   0.100E+09     5156376.705     5156373.953       2.752     0.00010000
     17  10     16  10    1 0   172.270116   172.270039    0.000077   0.100E+09     5164528.152     5164525.841       2.310     0.00010000
     17  10     16  10    0 1   172.201902   172.201823    0.000079   0.100E+09     5162483.147     5162480.780       2.367     0.00010000
     17  11     16  11    1 0   172.504790   172.504719    0.000071   0.100E+09     5171563.501     5171561.383       2.118     0.00010000
     17  11     16  11    0 1   172.429310   172.429256    0.000054   0.100E+09     5169300.668     5169299.058       1.609     0.00010000
     17  12     16  12    1 0   172.765463   172.765426    0.000037   0.100E+09     5179378.281     5179377.159       1.122     0.00010000
     17  12     16  12    0 1   172.681187   172.681140    0.000047   0.100E+09     5176851.750     5176850.354       1.396     0.00010000
     17  13     16  13    0 1   172.958356   172.958275    0.000081   0.100E+09     5185161.068     5185158.631       2.437     0.00010000
     17  13     16  13    1 0   173.053391   173.053330    0.000061   0.100E+09     5188010.145     5188008.315       1.830     0.00010000
     17  14     16  14    0 1   173.261576   173.261539    0.000037   0.100E+09     5194251.375     5194250.278       1.097     0.00010000
     17  14     16  14    1 0   173.369859   173.369799    0.000060   0.100E+09     5197497.617     5197495.825       1.792     0.00010000
     17  15     16  15    0 1   173.591965   173.591896    0.000069   0.100E+09     5204156.188     5204154.114       2.074     0.00010000
     17  15     16  15    1 0   173.716487   173.716429    0.000058   0.100E+09     5207889.263     5207887.526       1.737     0.00010000
     17  16     16  16    0 1   173.950396   173.950386    0.000010   0.100E+09     5214901.679     5214901.387       0.291     0.00010000
     17  16     16  16    1 0   174.095079   174.095087   -0.000008   0.100E+09     5219239.166     5219239.409      -0.243     0.00010000
     18   0     17   0    0 1   180.776438   180.776407    0.000031   0.100E+09     5419541.270     5419540.336       0.934     0.00010000
     18   0     17   0    1 0   180.814135   180.814216   -0.000081   0.100E+09     5420671.397     5420673.829      -2.431     0.00010000
     18   1     17   1    0 1   180.787164   180.787106    0.000058   0.100E+09     5419862.827     5419861.081       1.746     0.00010000
     18   1     17   1    1 0   180.825124   180.825094    0.000030   0.100E+09     5421000.839     5420999.927       0.912     0.00010000
     18   2     17   2    0 1   180.819287   180.819237    0.000050   0.100E+09     5420825.850     5420824.337       1.513     0.00010000
     18   2     17   2    1 0   180.857848   180.857766    0.000082   0.100E+09     5421981.880     5421979.424       2.456     0.00010000
     18   3     17   3    0 1   180.879561   180.879590   -0.000029   0.100E+09     5422632.819     5422633.699      -0.880     0.00010000
     18  -3     17  -3    0 1   180.866129   180.866151   -0.000022   0.100E+09     5422230.138     5422230.811      -0.673     0.00010000
     18  -3     17  -3    1 0   180.905469   180.905509   -0.000040   0.100E+09     5423409.522     5423410.725      -1.203     0.00010000
     18   3     17   3    1 0   180.919187   180.919137    0.000050   0.100E+09     5423820.777     5423819.292       1.485     0.00010000
     18   4     17   4    0 1   180.948250   180.948187    0.000063   0.100E+09     5424692.064     5424690.166       1.898     0.00010000
     18   4     17   4    1 0   180.989062   180.988974    0.000088   0.100E+09     5425915.577     5425912.942       2.634     0.00010000
