J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 4  -3      3   3    a a    41.109140    41.115361   -0.006221   0.250E+06   0.00141421     1232421.013     1232607.525    -186.512   
 4   0      3   3    s a    59.059310    59.066794   -0.007484   0.333E+06   0.00141421     1770553.571     1770777.936    -224.364   
 4  -3      3   3    a a    41.115107    41.115361   -0.000254   0.208E+07    0.00056569    1232599.899     1232607.525      -7.626   
 4  -3      3   3    a a    41.115760    41.115361    0.000399   0.333E+06    0.00141421    1232619.475     1232607.525      11.951   
 4   3      3   3    s a    41.063430    41.063386    0.000044   0.160E+08    0.00025000    1231050.661     1231049.351       1.310   
 4   3      3  -3    s s    41.116670    41.116747   -0.000077   0.333E+06    0.00141421    1232646.756     1232649.053      -2.297   
 4  -3      3   3    a a    41.114228    41.115361   -0.001133   0.208E+07    0.00056569    1232573.547     1232607.525     -33.978   
 4  -3      3   3    a a    41.114778    41.115361   -0.000583   0.313E+07    0.00056569    1232590.036     1232607.525     -17.489   
 4   3      3  -3    s s    41.116234    41.116747   -0.000513   0.313E+07    0.00056569    1232633.685     1232649.053     -15.368   
 4   0      3   3    s a    59.066870    59.066794    0.000076   0.250E+06    0.00141421    1770780.214     1770777.936       2.279   
 4   3      3  -3    s s    41.116350    41.116747   -0.000397   0.333E+06    0.00141421    1232637.163     1232649.053     -11.890   
 4   3      3  -3    s s    41.116780    41.116747    0.000033   0.500E+06    0.00141421    1232650.054     1232649.053       1.001   
 4  -3      3   3    a a    41.114410    41.115361   -0.000951   0.500E+06    0.00141421    1232579.003     1232607.525     -28.521   
 4   3      3  -3    s s    41.116574    41.116747   -0.000173   0.313E+07    0.00056569    1232643.878     1232649.053      -5.175   
 4  -3      3   3    a a    41.115260    41.115361   -0.000101   0.250E+06    0.00141421    1232604.486     1232607.525      -3.039   
 4   0      3   3    s a    59.071960    59.066794    0.005166   0.250E+06   0.00141421     1770932.809     1770777.936     154.873   
 4  -3      3   3    a a    41.115920    41.115361    0.000559   0.333E+06    0.00141421    1232624.272     1232607.525      16.747   
 4  -3      3   3    a a    41.116190    41.115361    0.000829   0.250E+06    0.00141421    1232632.366     1232607.525      24.842   
 4   3      3  -3    s s    41.117000    41.116747    0.000253   0.333E+06    0.00141421    1232656.650     1232649.053       7.597   
 4   3      3  -3    s s    41.116523    41.116747   -0.000224   0.208E+07    0.00056569    1232642.349     1232649.053      -6.704   
 4  -3      3   3    a a    41.114400    41.115361   -0.000961   0.500E+06    0.00141421    1232578.704     1232607.525     -28.821   
 4  -3      3   3    a a    41.115308    41.115361   -0.000053   0.208E+07    0.00056569    1232605.925     1232607.525      -1.600   
 4   0      3   3    s a    59.065780    59.066794   -0.001014   0.250E+06    0.00141421    1770747.537     1770777.936     -30.399   
 4   3      3   3    s s    41.116824    41.116746    0.000078   0.208E+07    0.00056569    1232651.373     1232649.023       2.351   
 4  -3      3  -3    a s    41.168650    41.168722   -0.000072   0.160E+08    0.00025000    1234205.078     1234207.227      -2.149   
 4  -3      3   3    a a    41.115608    41.115361    0.000247   0.619E+05    0.00401995    1232614.918     1232607.525       7.394   
 4   3      3  -3    s s    41.117880    41.116747    0.001133   0.333E+06    0.00141421    1232683.031     1232649.053      33.978   
 4  -3      3   3    a a    41.115308    41.115361   -0.000053   0.313E+07    0.00056569    1232605.925     1232607.525      -1.600   
 4   3      3  -3    s s    41.115820    41.116747   -0.000927   0.500E+06    0.00141421    1232621.274     1232649.053     -27.779   
 4   3      3  -3    s s    41.116250    41.116747   -0.000497   0.250E+06    0.00141421    1232634.165     1232649.053     -14.888   
 4   3      3  -3    s s    41.117380    41.116747    0.000633   0.250E+06    0.00141421    1232668.042     1232649.053      18.989   
 4  -3      3   3    a a    41.114450    41.115361   -0.000911   0.333E+06    0.00141421    1232580.202     1232607.525     -27.322   
 4   0      3   3    s a    59.071170    59.066794    0.004376   0.250E+06   0.00141421     1770909.125     1770777.936     131.190   
 4   0      3   3    s a    59.062779    59.066794   -0.004015   0.333E+06    0.00141421    1770657.569     1770777.936    -120.366   
 4  -3      3   3    a a    41.112819    41.115361   -0.002542   0.413E+05    0.00401995    1232531.306     1232607.525     -76.218   
 4   3      3  -3    s s    41.117036    41.116747    0.000289   0.208E+07    0.00056569    1232657.729     1232649.053       8.676   
 4  -3      3   3    a a    41.115090    41.115361   -0.000271   0.250E+06    0.00141421    1232599.389     1232607.525      -8.135   
 5   3      3   3    a a    92.474860    92.474274    0.000586   0.222E+06    0.00173205    2772326.558     2772308.985      17.573   
 5  -3      3  -3    s s    92.476960    92.477292   -0.000332   0.222E+06    0.00173205    2772389.515     2772399.473      -9.958   
 5   3      3   3    a a    92.474940    92.474274    0.000666   0.167E+06    0.00173205    2772328.957     2772308.985      19.971   
 5  -3      3  -3    s s    92.476556    92.477292   -0.000736   0.408E+05    0.00403980    2772377.403     2772399.473     -22.070   
 5   3      3   3    a a    92.473715    92.474274   -0.000559   0.139E+07    0.00069282    2772292.232     2772308.985     -16.753   
 5   0      3  -3    a s   110.505730   110.497694    0.008036   0.125E+06   0.00200000     3312878.442     3312637.542     240.900   
 5   3      3   3    a a    92.473731    92.474274   -0.000543   0.139E+07    0.00069282    2772292.712     2772308.985     -16.274   
 5   3      3   3    a a    92.472383    92.474274   -0.001891   0.408E+05    0.00403980    2772252.300     2772308.985     -56.686   
 5   3      3   3    a a    92.474230    92.474274   -0.000044   0.139E+07    0.00069282    2772307.671     2772308.985      -1.314   
 5  -3      3  -3    s s    92.477456    92.477292    0.000164   0.139E+07    0.00069282    2772404.384     2772399.473       4.911   
 5  -3      3   3    s s    92.476841    92.477291   -0.000450   0.139E+07    0.00069282    2772385.947     2772399.443     -13.495   
 5   0      3  -3    a s   110.501650   110.497694    0.003956   0.222E+06    0.00173205    3312756.127     3312637.542     118.585   
 5  -3      3  -3    s s    92.478001    92.477292    0.000709   0.139E+07    0.00069282    2772420.723     2772399.473      21.250   
 5   3      3   3    a a    92.474010    92.474274   -0.000264   0.167E+06    0.00173205    2772301.076     2772308.985      -7.909   
 5   0      3  -3    a s   110.495506   110.497694   -0.002188   0.222E+06    0.00173205    3312571.934     3312637.542     -65.608   
 5  -3      3  -3    s s    92.477120    92.477292   -0.000172   0.167E+06    0.00173205    2772394.311     2772399.473      -5.162   
 5   3      3   3    a a    92.474120    92.474274   -0.000154   0.222E+06    0.00173205    2772304.374     2772308.985      -4.612   
 5  -3      3  -3    s s    92.475935    92.477292   -0.001357   0.222E+06    0.00173205    2772358.786     2772399.473     -40.687   
 5  -3      3  -3    s s    92.478470    92.477292    0.001178   0.167E+06    0.00173205    2772434.783     2772399.473      35.310   
 5   3      3   3    a a    92.474630    92.474274    0.000356   0.222E+06    0.00173205    2772319.663     2772308.985      10.678   
 5   3      4   0    a s    33.411110    33.407480    0.003630   0.167E+06    0.00173205    1001639.879     1001531.050     108.829   
 5   3      4   0    a s    33.409560    33.407480    0.002080   0.167E+06    0.00173205    1001593.411     1001531.050      62.362   
 5   3      4   0    a s    33.401270    33.407480   -0.006210   0.100E+06   0.00200000     1001344.883     1001531.050    -186.166   
 5   3      4   0    a s    33.404050    33.407480   -0.003430   0.222E+06    0.00173205    1001428.226     1001531.050    -102.824   
 5   3      4   0    a s    33.409160    33.407480    0.001680   0.125E+06    0.00200000    1001581.420     1001531.050      50.370   
 5   3      4   0    a s    33.402840    33.407480   -0.004640   0.125E+06    0.00200000    1001391.951     1001531.050    -139.099   
 5   0      4   0    a s    51.377210    51.377540   -0.000330   0.160E+08    0.00025000    1540250.007     1540259.904      -9.897   
 5   3      4   0    a s    33.401340    33.407480   -0.006140   0.222E+06   0.00173205     1001346.982     1001531.050    -184.068   
 6  -3      4   0    a s    94.988980    94.986496    0.002484   0.125E+06    0.00200000    2847697.980     2847623.511      74.469   
 6  -3      4   0    a s    94.986650    94.986496    0.000154   0.125E+06    0.00200000    2847628.128     2847623.511       4.617   
 6   0      4   0    s s   112.873010   112.873213   -0.000203   0.250E+06    0.00141421    3383847.711     3383853.782      -6.071   
 6  -3      4   0    a s    94.986445    94.986496   -0.000051   0.139E+07    0.00069282    2847621.982     2847623.511      -1.529   
 6   0      4   0    s s   112.873040   112.873213   -0.000173   0.333E+06    0.00141421    3383848.610     3383853.782      -5.172   
 6   0      4   0    a a   112.868498   112.869779   -0.001281   0.313E+07    0.00056569    3383712.445     3383750.840     -38.396   
 6   0      4   0    s s   112.872830   112.873213   -0.000383   0.208E+07    0.00056569    3383842.315     3383853.782     -11.467   
 6   0      4   0    s s   112.873140   112.873213   -0.000073   0.250E+06    0.00141421    3383851.608     3383853.782      -2.174   
 6   0      4   0    a a   112.869685   112.869779   -0.000094   0.313E+07    0.00056569    3383748.030     3383750.840      -2.810   
 6   0      4   0    a a   112.869230   112.869779   -0.000549   0.333E+06    0.00141421    3383734.389     3383750.840     -16.451   
 6  -3      4   0    a s    94.980400    94.986496   -0.006096   0.800E+05    0.00223607    2847440.758     2847623.511    -182.753   
 6   0      4   0    s s   112.864760   112.873213   -0.008453   0.200E+06   0.00141421     3383600.382     3383853.782    -253.400   
 6   0      4   0    a a   112.870344   112.869779    0.000565   0.619E+05    0.00401995    3383767.786     3383750.840      16.946   
 6   0      4   0    s s   112.873030   112.873213   -0.000183   0.333E+06    0.00141421    3383848.311     3383853.782      -5.472   
 6   0      4   0    s s   112.872907   112.873213   -0.000306   0.313E+07    0.00056569    3383844.623     3383853.782      -9.159   
 6   0      4   0    a a   112.868750   112.869779   -0.001029   0.500E+06    0.00141421    3383719.999     3383750.840     -30.841   
 4   1      4   1    a s     0.049977     0.049977    0.000000   0.225E+13    0.00000067       1498.270        1498.274      -0.004   
 5   1      4   1    s s    51.332400    51.332855   -0.000455   0.333E+06    0.00141421    1538906.637     1538920.287     -13.650   
 5   1      4   1    a a    51.331389    51.331254    0.000135   0.208E+07    0.00056569    1538876.328     1538872.279       4.049   
 5   2      4   1    a s    45.394567    45.394757   -0.000190   0.417E+06    0.00089443    1360894.882     1360900.572      -5.690   
 5   1      4   1    a a    51.332884    51.331254    0.001630   0.208E+05    0.00565685    1538921.147     1538872.279      48.868   
 5   1      4   1    a a    51.330511    51.331254   -0.000743   0.208E+07    0.00056569    1538850.006     1538872.279     -22.272   
 5   1      4   1    s s    51.334305    51.332855    0.001450   0.156E+07    0.00056569    1538963.748     1538920.287      43.461   
 5   1      4   1    a a    51.325610    51.331254   -0.005644   0.333E+06   0.00141421     1538703.078     1538872.279    -169.201   
 5   4      4   1    s a    21.293797    21.294511   -0.000714   0.104E+07    0.00069282     638371.974      638393.369     -21.395   
 5   4      4   1    s a    21.298634    21.294511    0.004123   0.133E+06    0.00173205     638516.984      638393.369     123.615   
 5   1      4   1    a a    51.332380    51.331254    0.001126   0.200E+06    0.00141421    1538906.038     1538872.279      33.759   
 5   4      4   1    a s    21.392650    21.396562   -0.003912   0.222E+06    0.00173205     641335.513      641452.794    -117.281   
 5   2      4   1    s a    45.294010    45.295686   -0.001676   0.952E+05    0.00173205    1357880.259     1357930.517     -50.258   
 5   1      4   1    a a    51.330770    51.331254   -0.000484   0.143E+06    0.00141421    1538857.771     1538872.279     -14.508   
 5   1      4   1    s s    51.333010    51.332855    0.000155   0.333E+06    0.00141421    1538924.924     1538920.287       4.638   
 5   1      4   1    s s    51.332739    51.332855   -0.000116   0.104E+07    0.00056569    1538916.800     1538920.287      -3.487   
 5   1      4   1    a a    51.330470    51.331254   -0.000784   0.250E+06    0.00141421    1538848.777     1538872.279     -23.501   
 5   1      4   1    a a    51.331309    51.331254    0.000055   0.208E+07    0.00056569    1538873.930     1538872.279       1.651   
 5   2      4   1    a s    45.400110    45.394757    0.005353   0.800E+05    0.00223607    1361061.057     1360900.572     160.485   
 5   2      4   1    s a    45.302380    45.295686    0.006694   0.133E+06   0.00173205     1358131.185     1357930.517     200.669   
 5   1      4   1    a a    51.331652    51.331254    0.000398   0.156E+07    0.00056569    1538884.213     1538872.279      11.934   
 5   4      4   1    a s    21.395001    21.396562   -0.001561   0.167E+06    0.00173205     641405.994      641452.794     -46.800   
 5   1      4   1    a a    51.331421    51.331254    0.000167   0.208E+07    0.00056569    1538877.287     1538872.279       5.009   
 5   1      4   1    s s    51.333110    51.332855    0.000255   0.167E+06    0.00141421    1538927.922     1538920.287       7.636   
 5   1      4   1    s s    51.332210    51.332855   -0.000645   0.250E+06    0.00141421    1538900.941     1538920.287     -19.346   
 5   1      4   1    a a    51.331163    51.331254   -0.000091   0.208E+07    0.00056569    1538869.553     1538872.279      -2.726   
 5   4      4   1    s a    21.304229    21.294511    0.009718   0.167E+06   0.00173205      638684.718      638393.369     291.348   
 5   2      4   1    a s    45.395729    45.394757    0.000972   0.104E+07    0.00069282    1360929.718     1360900.572      29.146   
 5   1      4   1    s s    51.332381    51.332855   -0.000474   0.250E+06    0.00141421    1538906.067     1538920.287     -14.219   
 5   1      4   1    a a    51.331760    51.331254    0.000506   0.250E+06    0.00141421    1538887.450     1538872.279      15.172   
 5   1      4   1    a a    51.333350    51.331254    0.002096   0.250E+06    0.00141421    1538935.117     1538872.279      62.839   
 5   1      4   1    s s    51.333169    51.332855    0.000314   0.208E+07    0.00056569    1538929.691     1538920.287       9.404   
 5   1      4   1    s s    51.332877    51.332855    0.000022   0.208E+07    0.00056569    1538920.937     1538920.287       0.650   
 5   2      4   1    a s    45.397670    45.394757    0.002913   0.667E+05    0.00223607    1360987.908     1360900.572      87.336   
 5   4      4   1    s a    21.294831    21.294511    0.000320   0.833E+06    0.00069282     638402.973      638393.369       9.604   
 5   1      4   1    a a    51.331420    51.331254    0.000166   0.333E+06    0.00141421    1538877.257     1538872.279       4.979   
 5   1      4   1    a a    51.331100    51.331254   -0.000154   0.250E+06    0.00141421    1538867.664     1538872.279      -4.615   
 5   4      4   1    s a    21.300620    21.294511    0.006109   0.167E+06   0.00173205      638576.523      638393.369     183.153   
 5   1      4   1    a a    51.331335    51.331254    0.000081   0.208E+07    0.00056569    1538874.709     1538872.279       2.431   
 5   1      4   1    s s    51.332470    51.332855   -0.000385   0.333E+06    0.00141421    1538908.736     1538920.287     -11.551   
 5   1      4   1    s s    51.333460    51.332855    0.000605   0.208E+07    0.00056569    1538938.415     1538920.287      18.128   
 5   4      4   1    s a    21.285850    21.294511   -0.008661   0.167E+06   0.00173205      638133.729      638393.369    -259.640   
 5   4      4   1    a s    21.388150    21.396562   -0.008412   0.667E+05   0.00223607      641200.606      641452.794    -252.187   
 5   4      4   1    a s    21.390340    21.396562   -0.006222   0.800E+05    0.00223607     641266.261      641452.794    -186.533   
 5   1      4   1    a a    51.327350    51.331254   -0.003904   0.200E+06    0.00141421    1538755.242     1538872.279    -117.037   
 5   1      4   1    a s    51.380870    51.381231   -0.000361   0.160E+08    0.00025000    1540359.731     1540370.552     -10.821   
 5   1      4   1    s s    51.330900    51.332855   -0.001955   0.248E+05    0.00401995    1538861.668     1538920.287     -58.618   
 5   1      4   1    s s    51.333440    51.332855    0.000585   0.167E+06    0.00141421    1538937.816     1538920.287      17.529   
 5   1      4   1    s s    51.333000    51.332855    0.000145   0.333E+06    0.00141421    1538924.625     1538920.287       4.338   
 5   1      4   1    s s    51.333920    51.332855    0.001065   0.200E+06    0.00141421    1538952.206     1538920.287      31.919   
 5   4      4   1    a s    21.387800    21.396562   -0.008762   0.167E+06   0.00173205      641190.113      641452.794    -262.680   
 5   1      4   1    s a    51.282560    51.282878   -0.000318   0.160E+08    0.00025000    1537412.471     1537422.013      -9.541   
 5   1      4   1    a a    51.331530    51.331254    0.000276   0.200E+06    0.00141421    1538880.555     1538872.279       8.277   
 5   4      4   1    a s    21.390130    21.396562   -0.006432   0.667E+05    0.00223607     641259.965      641452.794    -192.829   
 5   1      4   1    a a    51.332183    51.331254    0.000929   0.125E+07    0.00056569    1538900.132     1538872.279      27.853   
 5   1      4   1    a a    51.330780    51.331254   -0.000474   0.250E+06    0.00141421    1538858.071     1538872.279     -14.208   
 5   2      4   1    a s    45.394366    45.394757   -0.000391   0.243E+05    0.00405956    1360888.856     1360900.572     -11.716   
 5   4      4   1    s a    21.291812    21.294511   -0.002699   0.333E+06    0.00141421     638312.465      638393.369     -80.904   
 5   1      4   1    s s    51.332890    51.332855    0.000035   0.250E+06    0.00141421    1538921.327     1538920.287       1.040   
 5   4      4   1    s a    21.295310    21.294511    0.000799   0.133E+06    0.00173205     638417.333      638393.369      23.964   
 5   2      4   1    s a    45.295270    45.295686   -0.000416   0.250E+06    0.00141421    1357918.033     1357930.517     -12.484   
 5   1      4   1    s s    51.332850    51.332855   -0.000005   0.250E+06    0.00141421    1538920.128     1538920.287      -0.159   
 5   2      4   1    s a    45.293410    45.295686   -0.002276   0.333E+06    0.00141421    1357862.272     1357930.517     -68.245   
 5   4      4   1    a s    21.394250    21.396562   -0.002312   0.167E+06    0.00173205     641383.479      641452.794     -69.314   
 6   1      4   1    a a   112.876686   112.877337   -0.000651   0.139E+07    0.00069282    3383957.915     3383977.436     -19.521   
 6   1      4   1    a a   112.879430   112.877337    0.002093   0.167E+06    0.00173205    3384040.178     3383977.436      62.742   
 6   4      4   1    s a    82.895441    82.904577   -0.009136   0.250E+06   0.00141421     2485142.801     2485416.679    -273.878   
 6   1      4   1    a a   112.876380   112.877337   -0.000957   0.167E+06    0.00173205    3383948.741     3383977.436     -28.695   
 6   1      4   1    a a   112.877670   112.877337    0.000333   0.333E+06    0.00141421    3383987.414     3383977.436       9.978   
 6   1      4   1    s s   112.881137   112.880789    0.000348   0.139E+07    0.00069282    3384091.352     3384080.906      10.446   
 6   1      4   1    a a   112.876804   112.877337   -0.000533   0.139E+07    0.00069282    3383961.452     3383977.436     -15.984   
 6   4      4   1    a s    82.995990    83.004630   -0.008640   0.556E+05   0.00244949     2488157.185     2488416.213    -259.028   
 6   2      4   1    a s   106.954082   106.953193    0.000889   0.347E+06    0.00097980    3206402.714     3206376.050      26.664   
 6   1      4   1    a a   112.877344   112.877337    0.000007   0.139E+07    0.00069282    3383977.641     3383977.436       0.205   
 6   5      4   1    s s    64.936230    64.940231   -0.004001   0.111E+06    0.00173205    1946739.200     1946859.134    -119.933   
 6   1      4   1    a a   112.877410   112.877337    0.000073   0.333E+06    0.00141421    3383979.620     3383977.436       2.184   
 6   1      4   1    s s   112.880210   112.880789   -0.000579   0.167E+06    0.00173205    3384063.562     3384080.906     -17.345   
 6   4      4   1    a s    83.002670    83.004630   -0.001960   0.125E+06    0.00200000    2488357.446     2488416.213     -58.767   
 6   1      4   1    s s   112.880590   112.880789   -0.000199   0.167E+06    0.00173205    3384074.954     3384080.906      -5.953   
 6   2      4   1    s a   106.861240   106.856001    0.005239   0.200E+06   0.00141421     3203619.380     3203462.316     157.065   
 6   1      4   1    s s   112.880898   112.880789    0.000109   0.694E+06    0.00069282    3384084.187     3384080.906       3.281   
 6   1      4   1    a a   112.871420   112.877337   -0.005917   0.222E+06   0.00173205     3383800.044     3383977.436    -177.392   
 6   2      4   1    s a   106.853620   106.856001   -0.002381   0.250E+06    0.00141421    3203390.939     3203462.316     -71.377   
 6   4      4   1    a s    83.008900    83.004630    0.004270   0.125E+06    0.00200000    2488544.217     2488416.213     128.004   
 6   1      4   1    s s   112.879780   112.880789   -0.001009   0.222E+06    0.00173205    3384050.670     3384080.906     -30.236   
 6   1      4   1    s s   112.881870   112.880789    0.001081   0.200E+06    0.00141421    3384113.327     3384080.906      32.421   
 6   4      4   1    a s    83.005967    83.004630    0.001337   0.240E+05    0.00407922    2488456.288     2488416.213      40.075   
 6   1      4   1    s s   112.882130   112.880789    0.001341   0.133E+06    0.00173205    3384121.122     3384080.906      40.215   
 6   1      4   1    s s   112.888230   112.880789    0.007441   0.167E+06   0.00141421     3384303.995     3384080.906     223.089   
 6   1      4   1    a a   112.877310   112.877337   -0.000027   0.167E+06    0.00173205    3383976.622     3383977.436      -0.814   
 6   1      4   1    a a   112.877219   112.877337   -0.000118   0.139E+07    0.00069282    3383973.894     3383977.436      -3.542   
 6   1      4   1    s s   112.872580   112.880789   -0.008209   0.111E+06   0.00173205     3383834.820     3384080.906    -246.087   
 6   1      4   1    s s   112.880640   112.880789   -0.000149   0.333E+06    0.00141421    3384076.453     3384080.906      -4.454   
 6   1      4   1    a a   112.887840   112.877337    0.010503   0.200E+06   0.00141421     3384292.303     3383977.436     314.867   
 6   1      4   1    s s   112.881167   112.880789    0.000378   0.245E+05    0.00403980    3384092.252     3384080.906      11.345   
 6   2      4   1    a s   106.955990   106.953193    0.002797   0.556E+05    0.00244949    3206459.914     3206376.050      83.864   
 4   1      4   2    a s     6.052270     6.047543    0.004727   0.133E+06    0.00173205     181442.490      181300.793     141.697   
 4   1      4   2    s a     5.939840     5.946847   -0.007007   0.111E+06   0.00173205      178071.923      178281.985    -210.062   
 4   1      4   2    s a     5.946733     5.946847   -0.000114   0.521E+06    0.00080000     178278.570      178281.985      -3.415   
 4   1      4   2    a s     6.050400     6.047543    0.002857   0.571E+05    0.00223607     181386.429      181300.793      85.636   
 4   1      4   2    a s     6.042810     6.047543   -0.004733   0.250E+06   0.00141421      181158.886      181300.793    -141.906   
 4   1      4   2    a s     6.039030     6.047543   -0.008513   0.100E+06   0.00200000      181045.565      181300.793    -255.228   
 4   2      4   2    a s     0.050720     0.050720    0.000000   0.899E+13    0.00000033       1520.537        1520.534       0.003   
 4   1      4   2    s a     5.943730     5.946847   -0.003117   0.833E+05    0.00200000     178188.543      178281.985     -93.442   
 4   1      4   2    a s     6.042400     6.047543   -0.005143   0.100E+06    0.00200000     181146.595      181300.793    -154.198   
 4   1      4   2    s a     5.947117     5.946847    0.000270   0.156E+07    0.00056569     178290.082      178281.985       8.097   
 4   1      4   2    a s     6.048650     6.047543    0.001107   0.167E+06    0.00173205     181333.965      181300.793      33.172   
 4   1      4   2    s a     5.942700     5.946847   -0.004147   0.125E+06    0.00200000     178157.664      178281.985    -124.321   
 4   1      4   2    s a     5.944540     5.946847   -0.002307   0.133E+06    0.00173205     178212.826      178281.985     -69.159   
 5   5      4   2    s a     9.239248     9.239458   -0.000210   0.104E+07    0.00069282     276985.687      276991.972      -6.285   
 5   2      4   2    s s    51.342955    51.343230   -0.000275   0.313E+07    0.00056569    1539223.068     1539231.309      -8.241   
 5   5      4   2    s a     9.247350     9.239458    0.007892   0.133E+06   0.00173205      277228.579      276991.972     236.606   
 5   2      4   2    a a    51.341655    51.341604    0.000051   0.156E+07    0.00056569    1539184.095     1539182.557       1.538   
 5   2      4   2    a a    51.341730    51.341604    0.000126   0.333E+06    0.00141421    1539186.343     1539182.557       3.787   
 5   2      4   2    a a    51.341322    51.341604   -0.000282   0.208E+07    0.00056569    1539174.112     1539182.557      -8.445   
 5   2      4   2    s s    51.343041    51.343230   -0.000189   0.208E+07    0.00056569    1539225.646     1539231.309      -5.663   
 5   2      4   2    s s    51.344388    51.343230    0.001158   0.208E+07    0.00056569    1539266.028     1539231.309      34.719   
 5   2      4   2    a a    51.341300    51.341604   -0.000304   0.104E+07    0.00056569    1539173.452     1539182.557      -9.105   
 5   2      4   2    s s    51.344056    51.343230    0.000826   0.250E+06    0.00141421    1539256.075     1539231.309      24.766   
 5   5      4   2    a s     9.345660     9.344608    0.001052   0.167E+06    0.00173205     280175.838      280144.299      31.539   
 5   5      4   2    a s     9.339500     9.344608   -0.005108   0.167E+06    0.00173205     279991.166      280144.299    -153.133   
 5   5      4   2    s a     9.241100     9.239458    0.001642   0.222E+06    0.00173205     277041.208      276991.972      49.236   
 5   2      4   2    s s    51.342869    51.343230   -0.000361   0.156E+07    0.00056569    1539220.490     1539231.309     -10.820   
 5   5      4   2    s a     9.233320     9.239458   -0.006138   0.222E+06   0.00173205      276807.970      276991.972    -184.002   
 5   2      4   2    a a    51.341370    51.341604   -0.000234   0.200E+06    0.00141421    1539175.551     1539182.557      -7.006   
 5   2      4   2    s s    51.344410    51.343230    0.001180   0.952E+05    0.00173205    1539266.688     1539231.309      35.378   
 5   1      4   2    a s    57.381170    57.378797    0.002373   0.476E+05    0.00244949    1720244.200     1720173.071      71.128   
 5   2      4   2    s s    51.342790    51.343230   -0.000440   0.200E+06    0.00141421    1539218.121     1539231.309     -13.188   
 5   2      4   2    a a    51.342780    51.341604    0.001176   0.250E+06    0.00141421    1539217.822     1539182.557      35.265   
 5   5      4   2    a s     9.340370     9.344608   -0.004238   0.167E+06    0.00173205     280017.248      280144.299    -127.051   
 5   1      4   2    s a    57.279472    57.279702   -0.000230   0.694E+06    0.00069282    1717195.370     1717202.272      -6.901   
 5   2      4   2    s s    51.343040    51.343230   -0.000190   0.250E+06    0.00141421    1539225.616     1539231.309      -5.693   
 5   2      4   2    s s    51.342810    51.343230   -0.000420   0.333E+06    0.00141421    1539218.721     1539231.309     -12.588   
 5   5      4   2    s a     9.242830     9.239458    0.003372   0.167E+06    0.00173205     277093.072      276991.972     101.100   
 5   2      4   2    s s    51.343020    51.343230   -0.000210   0.333E+06    0.00141421    1539225.017     1539231.309      -6.293   
 5   2      4   2    a a    51.341260    51.341604   -0.000344   0.333E+06    0.00141421    1539172.253     1539182.557     -10.304   
 5   2      4   2    s s    51.343330    51.343230    0.000100   0.333E+06    0.00141421    1539234.310     1539231.309       3.001   
 5   2      4   2    s a    51.292190    51.292510   -0.000320   0.160E+08    0.00025000    1537701.172     1537710.776      -9.604   
 5   2      4   2    a a    51.341855    51.341604    0.000251   0.208E+07    0.00056569    1539190.091     1539182.557       7.534   
 5   2      4   2    s s    51.343110    51.343230   -0.000120   0.250E+06    0.00141421    1539227.715     1539231.309      -3.595   
 5   5      4   2    a s     9.354320     9.344608    0.009712   0.333E+06   0.00141421      280435.459      280144.299     291.160   
 5   5      4   2    s a     9.237150     9.239458   -0.002308   0.133E+06    0.00173205     276922.790      276991.972     -69.182   
 5   5      4   2    a s     9.344368     9.344608   -0.000240   0.104E+07    0.00069282     280137.105      280144.299      -7.194   
 5   2      4   2    a a    51.343420    51.341604    0.001816   0.200E+06    0.00141421    1539237.008     1539182.557      54.451   
 5   5      4   2    a s     9.343010     9.344608   -0.001598   0.167E+06    0.00173205     280096.393      280144.299     -47.906   
 5   2      4   2    a a    51.341240    51.341604   -0.000364   0.333E+06    0.00141421    1539171.654     1539182.557     -10.903   
 5   2      4   2    s s    51.341872    51.343230   -0.001358   0.156E+07    0.00056569    1539190.601     1539231.309     -40.709   
 5   2      4   2    a a    51.341520    51.341604   -0.000084   0.250E+06    0.00141421    1539180.048     1539182.557      -2.509   
 5   2      4   2    a a    51.341400    51.341604   -0.000204   0.167E+06    0.00141421    1539176.450     1539182.557      -6.107   
 5   2      4   2    s s    51.344686    51.343230    0.001456   0.208E+07    0.00056569    1539274.962     1539231.309      43.653   
 5   2      4   2    a a    51.341510    51.341604   -0.000094   0.333E+06    0.00141421    1539179.748     1539182.557      -2.809   
 5   2      4   2    s s    51.342760    51.343230   -0.000470   0.200E+06    0.00141421    1539217.222     1539231.309     -14.087   
 5   2      4   2    s s    51.344319    51.343230    0.001089   0.156E+07    0.00056569    1539263.960     1539231.309      32.650   
 5   2      4   2    a a    51.342168    51.341604    0.000564   0.208E+07    0.00056569    1539199.474     1539182.557      16.917   
 5   1      4   2    a s    57.370560    57.378797   -0.008237   0.800E+05   0.00223607     1719926.120     1720173.071    -246.951   
 5   4      4   2    a a    27.334880    27.343409   -0.008529   0.133E+06   0.00173205      819479.086      819734.779    -255.692   
 5   2      4   2    a a    51.343350    51.341604    0.001746   0.333E+06    0.00141421    1539234.910     1539182.557      52.353   
 5   1      4   2    a s    57.379800    57.378797    0.001003   0.100E+06    0.00200000    1720203.128     1720173.071      30.057   
