J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 2   1      1   1    a a    20.565350    20.565417   -0.000067   0.500E+06    0.00141421     616533.683      616535.686      -2.004   
 2   1      1   1    a a    20.565818    20.565417    0.000401   0.208E+07    0.00056569     616547.713      616535.686      12.027   
 2   1      1   1    a a    20.567730    20.565417    0.002313   0.333E+06    0.00141421     616605.033      616535.686      69.347   
 2   1      1   1    s s    20.566300    20.566106    0.000194   0.333E+06    0.00141421     616562.163      616556.341       5.822   
 2   1      1   1    a a    20.565040    20.565417   -0.000377   0.500E+06    0.00141421     616524.389      616535.686     -11.297   
 2   1      1   1    a a    20.564230    20.565417   -0.001187   0.333E+06    0.00141421     616500.106      616535.686     -35.580   
 2   1      1   1    a a    20.565262    20.565417   -0.000155   0.313E+07    0.00056569     616531.044      616535.686      -4.642   
 2   1      1   1    s s    20.565835    20.566106   -0.000271   0.208E+07    0.00056569     616548.223      616556.341      -8.118   
 2   2      1   1    a s    14.610150    14.607020    0.003130   0.100E+06    0.00200000     438001.278      437907.449      93.829   
 2   1      1   1    s s    20.566091    20.566106   -0.000015   0.313E+07    0.00056569     616555.897      616556.341      -0.444   
 2   2      1   1    a s    14.611820    14.607020    0.004800   0.500E+06   0.00141421      438051.343      437907.449     143.894   
 2   2      1   1    s a    14.506270    14.500924    0.005346   0.333E+06   0.00141421      434887.034      434726.757     160.277   
 2   1      1   1    s s    20.569436    20.566106    0.003330   0.619E+05    0.00401995     616656.178      616556.341      99.837   
 2   1      1   1    s s    20.566030    20.566106   -0.000076   0.500E+06    0.00141421     616554.069      616556.341      -2.272   
 2   1      1   1    a a    20.565413    20.565417   -0.000004   0.313E+07    0.00056569     616535.571      616535.686      -0.115   
 2   1      1   1    a a    20.565205    20.565417   -0.000212   0.208E+07    0.00056569     616529.336      616535.686      -6.351   
 2   2      1   1    a s    14.607900    14.607020    0.000880   0.222E+06    0.00173205     437933.825      437907.449      26.375   
 2   1      1   1    a a    20.565605    20.565417    0.000188   0.208E+07    0.00056569     616541.327      616535.686       5.641   
 2   1      1   1    s s    20.565950    20.566106   -0.000156   0.500E+06    0.00141421     616551.670      616556.341      -4.671   
 2   1      1   1    s s    20.566080    20.566106   -0.000026   0.333E+06    0.00141421     616555.567      616556.341      -0.774   
 2   1      1   1    s s    20.566260    20.566106    0.000154   0.333E+06    0.00141421     616560.964      616556.341       4.623   
 3   1      1   1    a a    51.401641    51.401752   -0.000111   0.139E+07    0.00069282    1540982.430     1540985.759      -3.328   
 3   1      1   1    a a    51.401690    51.401752   -0.000062   0.167E+06    0.00173205    1540983.899     1540985.759      -1.859   
 3   1      1   1    a a    51.401680    51.401752   -0.000072   0.222E+06    0.00173205    1540983.599     1540985.759      -2.159   
 3   1      1   1    s s    51.403683    51.403457    0.000226   0.139E+07    0.00069282    1541043.648     1541036.861       6.786   
 3   1      1   1    a a    51.403430    51.401752    0.001678   0.222E+06    0.00173205    1541036.063     1540985.759      50.304   
 3   2      1   1    s a    45.343970    45.344550   -0.000580   0.250E+06    0.00141421    1359378.022     1359395.398     -17.376   
 3   1      1   1    a a    51.401460    51.401752   -0.000292   0.167E+06    0.00173205    1540977.004     1540985.759      -8.755   
 3   2      1   1    s a    45.344840    45.344550    0.000290   0.333E+06    0.00141421    1359404.104     1359395.398       8.706   
 3   1      1   1    s s    51.403600    51.403457    0.000143   0.222E+06    0.00173205    1541041.159     1541036.861       4.298   
 3   1      1   1    s s    51.403326    51.403457   -0.000131   0.139E+07    0.00069282    1541032.945     1541036.861      -3.916   
 3   1      1   1    s s    51.409970    51.403457    0.006513   0.133E+06   0.00173205     1541232.127     1541036.861     195.266   
 3   2      1   1    a s    45.449870    45.449615    0.000255   0.800E+05    0.00223607    1362552.824     1362545.169       7.655   
 3   2      1   1    a s    45.457550    45.449615    0.007935   0.125E+06   0.00200000     1362783.065     1362545.169     237.896   
 3   1      1   1    s s    51.403440    51.403457   -0.000017   0.167E+06    0.00173205    1541036.363     1541036.861      -0.499   
 3   2      1   1    s a    45.344406    45.344550   -0.000144   0.156E+07    0.00056569    1359391.093     1359395.398      -4.305   
 3   1      1   1    s s    51.406040    51.403457    0.002583   0.222E+06    0.00173205    1541114.309     1541036.861      77.447   
 3   1      1   1    s s    51.403260    51.403457   -0.000197   0.222E+06    0.00173205    1541030.966     1541036.861      -5.895   
 3   1      1   1    a a    51.402150    51.401752    0.000398   0.222E+06    0.00173205    1540997.689     1540985.759      11.931   
 3   1      1   1    a a    51.401990    51.401752    0.000238   0.222E+06    0.00173205    1540992.893     1540985.759       7.134   
 3   1      1   1    a a    51.401759    51.401752    0.000007   0.139E+07    0.00069282    1540985.968     1540985.759       0.209   
 3   1      1   1    s s    51.403177    51.403457   -0.000280   0.139E+07    0.00069282    1541028.478     1541036.861      -8.383   
 3   1      1   1    a a    51.403464    51.401752    0.001712   0.408E+05    0.00403980    1541037.082     1540985.759      51.324   
 3   1      1   1    s s    51.403350    51.403457   -0.000107   0.222E+06    0.00173205    1541033.665     1541036.861      -3.197   
 3   1      1   1    a a    51.401849    51.401752    0.000097   0.139E+07    0.00069282    1540988.666     1540985.759       2.907   
